iter	Passed	Remaining
0	83	82985
1	100	50346
2	118	39304
3	141	35134
4	156	31108
5	170	28164
6	184	26177
7	208	25844
8	222	24472
9	245	24342
10	272	24505
11	297	24506
12	310	23596
13	333	23517
14	353	23191
15	366	22557
16	388	22470
17	408	22293
18	422	21810
19	436	21393
20	450	20985
21	471	20957
22	486	20649
23	507	20639
24	529	20665
25	547	20502
26	560	20196
27	576	19996
28	596	19955
29	609	19710
30	623	19480
31	637	19288
32	660	19340
33	678	19289
34	693	19118
35	721	19314
36	752	19577
37	779	19742
38	809	19936
39	834	20023
40	864	20228
41	888	20263
42	910	20273
43	943	20494
44	965	20499
45	992	20588
46	1012	20525
47	1030	20432
48	1048	20348
49	1065	20251
50	1081	20123
51	1102	20106
52	1133	20247
53	1165	20413
54	1200	20628
55	1222	20609
56	1242	20554
57	1271	20658
58	1294	20651
59	1320	20690
60	1337	20589
61	1351	20446
62	1368	20352
63	1391	20352
64	1408	20256
65	1422	20130
66	1437	20012
67	1458	19994
68	1471	19859
69	1485	19733
70	1500	19634
71	1521	19612
72	1543	19597
73	1557	19488
74	1576	19443
75	1595	19403
76	1610	19309
77	1633	19304
78	1653	19275
79	1679	19317
80	1700	19297
81	1730	19369
82	1754	19388
83	1790	19524
84	1809	19482
85	1829	19440
86	1854	19457
87	1871	19390
88	1887	19321
89	1909	19308
90	1927	19252
91	1943	19181
92	1959	19113
93	1983	19113
94	2006	19116
95	2023	19055
96	2047	19064
97	2063	18996
98	2077	18911
99	2095	18855
100	2122	18889
101	2143	18873
102	2166	18866
103	2192	18886
104	2215	18887
105	2245	18936
106	2264	18902
107	2283	18861
108	2309	18877
109	2325	18813
110	2339	18739
111	2354	18665
112	2375	18649
113	2390	18579
114	2405	18513
115	2422	18462
116	2447	18468
117	2460	18394
118	2474	18317
119	2489	18256
120	2510	18235
121	2528	18196
122	2544	18144
123	2561	18095
124	2579	18059
125	2595	18004
126	2609	17940
127	2631	17923
128	2650	17895
129	2665	17837
130	2680	17784
131	2704	17781
132	2718	17718
133	2732	17657
134	2748	17608
135	2770	17603
136	2787	17556
137	2801	17500
138	2818	17456
139	2847	17490
140	2863	17446
141	2877	17388
142	2900	17385
143	2918	17347
144	2932	17292
145	2949	17253
146	2974	17257
147	2988	17203
148	3002	17148
149	3017	17101
150	3040	17094
151	3063	17089
152	3081	17059
153	3104	17054
154	3120	17011
155	3135	16962
156	3152	16928
157	3174	16917
158	3192	16885
159	3211	16858
160	3232	16844
161	3250	16812
162	3271	16798
163	3298	16812
164	3316	16784
165	3328	16721
166	3344	16681
167	3367	16675
168	3385	16646
169	3400	16604
170	3422	16591
171	3438	16553
172	3450	16496
173	3463	16443
174	3489	16452
175	3504	16408
176	3518	16360
177	3533	16318
178	3557	16318
179	3570	16263
180	3583	16214
181	3597	16171
182	3620	16164
183	3635	16124
184	3648	16074
185	3667	16049
186	3695	16067
187	3713	16037
188	3734	16023
189	3758	16024
190	3777	15998
191	3799	15988
192	3824	15992
193	3840	15954
194	3860	15935
195	3886	15942
196	3906	15924
197	3921	15883
198	3938	15854
199	3958	15835
200	3972	15789
201	3987	15751
202	4002	15712
203	4021	15691
204	4035	15651
205	4050	15610
206	4064	15571
207	4086	15558
208	4100	15518
209	4118	15492
210	4141	15487
211	4163	15474
212	4180	15446
213	4202	15434
214	4226	15431
215	4244	15405
216	4264	15388
217	4284	15370
218	4300	15338
219	4321	15321
220	4348	15326
221	4366	15302
222	4385	15279
223	4414	15293
224	4433	15271
225	4452	15248
226	4478	15251
227	4499	15233
228	4519	15216
229	4551	15236
230	4570	15215
231	4592	15202
232	4615	15194
233	4631	15162
234	4651	15143
235	4677	15143
236	4696	15119
237	4714	15095
238	4740	15094
239	4763	15084
240	4780	15055
241	4804	15049
242	4819	15012
243	4832	14972
244	4852	14953
245	4878	14952
246	4895	14924
247	4917	14911
248	4941	14904
249	4960	14881
250	4986	14878
251	5007	14864
252	5030	14853
253	5046	14822
254	5069	14809
255	5082	14771
256	5097	14736
