iter	Accuracy	Logloss
0	0.9449733084	0.656063039
1	0.9449733084	0.6218467928
2	0.9449733084	0.5902656754
3	0.9449733084	0.561157917
4	0.9449733084	0.534332892
5	0.9449733084	0.5096103514
6	0.9449733084	0.4868541563
7	0.9449733084	0.4658933368
8	0.9449733084	0.4466052327
9	0.9449733084	0.4288439537
10	0.9449733084	0.4124983491
11	0.9449733084	0.3974508906
12	0.9449733084	0.3835936458
13	0.9449733084	0.3679510892
14	0.9449733084	0.3537408372
15	0.9449733084	0.3405920747
16	0.9449733084	0.3286682478
17	0.9449733084	0.317734561
18	0.9449733084	0.3075708751
19	0.9449733084	0.2983568058
20	0.9449733084	0.289912832
21	0.9449733084	0.2820682257
22	0.9449733084	0.2748518963
23	0.9449733084	0.268296457
24	0.9449733084	0.2621731266
25	0.9449733084	0.2566281725
26	0.9449733084	0.2514837643
27	0.9449733084	0.2467460306
28	0.9449733084	0.242364012
29	0.9449733084	0.2383015299
30	0.9449733084	0.2345446761
31	0.9449733084	0.2311445153
32	0.9449733084	0.2279368296
33	0.9449733084	0.2250019305
34	0.9449733084	0.2223222936
35	0.9449733084	0.2197909349
36	0.9449733084	0.2174467467
37	0.9449733084	0.2152751921
38	0.9449733084	0.2132816502
39	0.9449733084	0.2114604228440	0.9449733084	0.2097713741441	0.9449733084	0.2081908604442	0.9449733084	0.2067095026443	0.9449733084	0.2053051497444	0.9449733084	0.203999583
45	0.9449733084	0.2028379705
46	0.9449733084	0.2017273547
47	0.9449733084	0.2007041296
48	0.9449733084	0.1997072787
49	0.9449733084	0.1987669225
50	0.9449733084	0.1979040901551	0.9449733084	0.197101902
52	0.9449733084	0.1963990451
53	0.9449733084	0.1956927507
54	0.9449733084	0.195066185
55	0.9449733084	0.1944382793
56	0.9449733084	0.1938725155
57	0.9449733084	0.1933551987
58	0.9449733084	0.1928651681
59	0.9449733084	0.1924112426
60	0.9449733084	0.1919886992
61	0.9449733084	0.191578725
62	0.9449733084	0.1911967912
63	0.9449733084	0.1908538063
64	0.9449733084	0.1905114301
65	0.9449733084	0.190203646
66	0.9449733084	0.189918872
67	0.9449733084	0.1896396559
68	0.9449733084	0.1893950868
69	0.9449733084	0.1891553641
70	0.9449733084	0.1889407285
71	0.9449733084	0.1887239505
72	0.9449733084	0.1885456645
73	0.9449733084	0.1883510152
74	0.9449733084	0.188184896
75	0.9449733084	0.1880193414
76	0.9449733084	0.1878554809
77	0.9449733084	0.1877151314
78	0.9449733084	0.1875613351
79	0.9449733084	0.187427914
80	0.9449733084	0.1873017677
81	0.9450390512	0.187197916
82	0.9450653483	0.1870900808
83	0.9450653483	0.1869858711
84	0.9451442396	0.1868810064
85	0.9451442396	0.1867807923
86	0.9451442396	0.1867007655
87	0.9451442396	0.186619122
88	0.9451442396	0.1865403536
89	0.9451442396	0.1864763951
90	0.9451310911	0.186400931
91	0.9451442396	0.1863343366
92	0.9451310911	0.1863020655
93	0.9451442396	0.1862504551
94	0.9451573882	0.1861847487
95	0.9451705367	0.1861401229
96	0.9452231309	0.186090331
97	0.9452099824	0.1860464596
98	0.9452231309	0.1860231461
99	0.945249428	0.1859802692
09
411
