iter	Passed	Remaining
0	378	37513
1	736	36097
2	1030	33330
3	1349	32391
4	1660	31551
5	1948	30519
6	2302	30584
7	2627	30211
8	2933	29664
9	3224	29019
10	3531	28573
11	3816	27989
12	4073	27261
13	4317	26524
14	4548	25776
15	4778	25088
16	4976	24296
17	5179	23595
18	5435	23171
19	5680	22720
20	5999	22569
21	6225	22070
22	6430	21529
23	6693	21194
24	6918	20756
25	7146	20339
26	7359	19898
27	7590	19517
28	7807	19115
29	8029	18734
30	8285	18442
31	8594	18264
32	8822	17913
33	9049	17567
34	9259	17195
35	9494	16879
36	9727	16562
37	9991	16302
38	10230	16001
39	10509	15763
40	10757	15479
41	10976	15158
42	11206	14854
43	11446	14568
44	11673	14267
45	11896	13965
46	12131	13679
47	12344	13373
48	12570	13083
49	12822	12822
50	13054	12543
51	13286	12264
52	13477	11951
53	13709	11678
54	13980	11438
55	14266	11209
56	14535	10965
57	14818	10730
58	15049	10458
59	15278	10185
60	15485	9900
61	15724	9637
62	15966	9376
63	16167	9093
64	16391	8826
65	16636	8570
66	16835	8292
67	17127	8060
68	17323	7783
69	17538	7516
70	17753	7251
71	18002	7000
72	18232	6743
73	18429	6475
74	18631	6210
75	18876	5960
76	19080	5699
77	19362	5461
78	19656	5225
79	19898	4974
80	20142	4724
81	20369	4471
82	20668	4233
83	20948	3990
84	21240	3748
85	21467	3494
86	21702	3242
87	21967	2995
88	22166	2739
89	22404	2489
90	22701	2245
91	22954	1996
92	23179	1744
93	23409	1494
94	23669	1245
95	23944	997
96	24139	746
97	24409	498
98	24667	249
99	24932	0
