iter	Passed	Remaining
0	44	44738
1	89	44853
2	132	44064
3	167	41735
4	202	40205
5	245	40700
6	284	40399
7	328	40694
8	368	40521
9	404	40031
10	445	40095
11	485	39979
12	534	40587
13	579	40802
14	619	40708
15	656	40351
16	691	39957
17	727	39690
18	759	39238
19	797	39077
20	833	38846
21	870	38682
22	906	38486
23	941	38278
24	981	38282
25	1018	38148
26	1057	38102
27	1092	37917
28	1124	37664
29	1157	37426
30	1191	37244
31	1220	36935
32	1256	36830
33	1291	36684
34	1328	36622
35	1364	36535
36	1399	36423
37	1435	36349
38	1471	36252
39	1509	36220
40	1546	36168
41	1586	36196
42	1619	36047
43	1656	35987
44	1690	35875
45	1722	35729
46	1754	35584
47	1793	35578
48	1827	35466
49	1859	35324
50	1903	35422
51	1938	35342
52	1978	35352
53	2014	35293
54	2055	35322
55	2092	35274
56	2131	35265
57	2171	35262
58	2202	35127
59	2241	35117
60	2275	35030
61	2313	34997
62	2347	34909
63	2385	34888
64	2426	34909
65	2461	34836
66	2499	34807
67	2532	34716
68	2571	34698
69	2600	34548
70	2636	34492
71	2669	34412
72	2709	34411
73	2749	34408
74	2795	34477
75	2844	34578
76	2889	34636
77	2931	34654
78	2972	34653
79	3002	34532
80	3041	34511
81	3075	34429
82	3116	34428
83	3155	34408
84	3195	34400
85	3234	34379
86	3271	34330
87	3313	34339
88	3354	34334
89	3388	34259
90	3419	34160
91	3456	34110
92	3495	34087
93	3532	34050
94	3566	33973
95	3600	33906
96	3636	33856
97	3669	33774
98	3705	33723
99	3740	33666
100	3777	33620
101	3809	33536
102	3845	33492
103	3882	33451
104	3924	33447
105	3960	33402
106	3998	33369
107	4037	33346
108	4086	33405
109	4125	33380
110	4160	33322
111	4195	33261
112	4236	33255
113	4271	33196
114	4304	33129
115	4336	33046
116	4372	32998
117	4408	32948
118	4438	32862
119	4471	32792
120	4505	32732
121	4537	32654
122	4569	32582
123	4601	32504
124	4632	32429
125	4662	32344
126	4694	32268
127	4723	32180
128	4759	32136
129	4793	32076
130	4828	32028
131	4861	31969
132	4895	31911
133	4927	31842
134	4963	31803
135	4993	31726
136	5025	31654
137	5053	31565
138	5087	31515
139	5119	31448
140	5154	31404
141	5185	31334
142	5219	31278
143	5249	31203
144	5284	31157
145	5317	31101
146	5355	31074
147	5382	30988
148	5425	30985
149	5458	30931
150	5494	30891
151	5528	30840
152	5563	30797
153	5596	30744
154	5630	30694
155	5664	30645
156	5698	30600
157	5731	30544
158	5765	30496
159	5798	30439
160	5826	30362
161	5860	30315
162	5896	30278
163	5930	30232
164	5963	30181
165	6000	30145
166	6035	30103
167	6072	30072
168	6103	30011
169	6138	29968
170	6169	29910
171	6205	29872
172	6237	29816
173	6270	29768
174	6304	29723
175	6344	29704
176	6375	29642
177	6412	29612
178	6444	29557
179	6479	29518
180	6507	29443
181	6542	29405
182	6575	29354
183	6608	29308
184	6642	29263
185	6679	29230
186	6711	29177
187	6748	29149
188	6777	29081
189	6813	29045
190	6842	28981
191	6874	28931
192	6908	28885
193	6945	28857
194	6972	28784
195	7007	28744
196	7038	28688
197	7074	28655
198	7112	28630
199	7146	28587
200	7178	28536
201	7213	28496
202	7243	28439
203	7279	28405
204	7313	28363
205	7344	28307
206	7376	28260
207	7413	28227
208	7448	28189
209	7483	28153
210	7519	28118
211	7550	28065
212	7583	28018
213	7619	27984
214	7648	27924
215	7680	27877
216	7707	27809
217	7742	27774
218	7772	27717
219	7806	27676
220	7837	27626
221	7871	27584
222	7901	27531
223	7936	27495
224	7966	27439
225	8002	27406
226	8032	27352
227	8070	27326
228	8103	27283
229	8138	27246
230	8177	27222
231	8211	27182
232	8237	27116
233	8272	27081
234	8304	27033
235	8340	27000
236	8374	26959
237	8409	26924
238	8443	26883
239	8475	26840
240	8512	26808
241	8547	26774
242	8580	26729
243	8617	26698
244	8651	26660
245	8687	26626
246	8724	26596
247	8774	26606
248	8817	26593
249	8861	26584
250	8902	26567
251	8941	26541
252	8989	26541
253	9033	26532
254	9093	26566
255	9143	26574
256	9195	26585
257	9234	26556
258	9283	26561
259	9325	26542
260	9379	26557
261	9432	26570
262	9506	26638
263	9557	26646
264	9619	26680
265	9658	26650
266	9701	26633
267	9738	26598
268	9775	26564
269	9815	26537
270	9858	26518
271	9899	26496
272	9961	26526
273	10013	26533
274	10070	26550
275	10115	26535
276	10165	26533
277	10207	26508
278	10243	26470
279	10280	26435
280	10325	26419
281	10366	26395
282	10416	26390
283	10467	26389
284	10514	26377
285	10561	26366
286	10602	26341
287	10642	26311
288	10683	26282
289	10720	26247
290	10756	26208
291	10795	26175
292	10833	26141
293	10872	26108
294	10914	26083
295	10955	26056
296	10997	26032
297	11036	25999
298	11074	25964
299	11115	25936
300	11148	25890
301	11188	25859
302	11220	25811
303	11254	25767
304	11299	25747
305	11338	25716
306	11386	25703
307	11477	25786
308	11536	25797
309	11587	25791
310	11642	25793
311	11709	25820
312	11782	25860
313	11837	25862
314	11889	25854
315	11940	25845
316	11992	25838
317	12042	25826
318	12085	25801
319	12131	25780
320	12189	25784
321	12234	25761
322	12285	25749
323	12328	25721
324	12376	25705
325	12411	25660
326	12452	25628
